Sat 55: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 125: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 56: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 126: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 127: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 57: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 263: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 128: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 264: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 129: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 265: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 266: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 130: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 131: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 132: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 133: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 134: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 267: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 135: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 136: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 58: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 268: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 269: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 270: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 271: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 272: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 137: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 138: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 139: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 140: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 141: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 142: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 143: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 273: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 59: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 144: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
